Passenger_count,Trip_distance,Fare_amount,Tip_amount,Total_amount
1,1.3,6.5,0,7.8
1,1.24,7,0,8.3
2,0.95,6,1.46,8.76
1,2.02,9,0,10.3
1,1.37,7,2.49,10.79
1,0.5,4,0,5.3
1,2.84,11.5,2.56,15.36
1,8.57,27,0,28.3
1,1.73,8,1.86,11.16
1,2.82,12,2,15.3
2,1.02,5.5,0,6.8
1,3.32,13,0,14.3
2,11.26,35.5,6.5,43.3
2,3.24,12,0,13.3
1,1.83,8.5,0,9.8
1,6.79,24,2,27.3
1,1.36,7,2.08,10.38
5,4.83,18,2,21.3
1,0.87,4.5,0,5.8
1,10.33,33,6.86,41.16
1,8.83,26,6.82,34.12
1,4,16.5,0,17.8
1,5,17.5,5.64,24.44
6,2.32,9,0,10.3
1,1.95,10,2.26,13.56
1,1.48,7,0,8.3
1,1.91,10.5,2.36,14.16
1,1.08,6,0.7,8
1,3.65,15.5,4.2,21
1,1.67,8.5,1,10.8
1,2.6,11,0,12.3
1,1.71,8.5,0,9.8
1,1.18,6.5,0,7.8
5,6.02,23.5,0,24.8
1,1.79,9,2.06,12.36
5,3.85,14.5,0,15.8
1,1.88,9,0,10.3
1,3.49,15,0,16.3
1,0.88,5,1.58,7.88
1,0.87,5,0,6.3
1,2.8,11.5,2.56,15.36
1,0.88,5,0,6.3
1,5.91,22,4.66,27.96
5,0.82,5,1.89,8.19
1,0.77,6,1.46,8.76
1,0.82,5.5,0,6.8
1,5.04,18.5,0,19.8
1,0.03,17,0,17
1,8.24,30.5,6.36,38.16
1,1.38,8,1.86,11.16
3,1.33,7.5,0,8.8
1,1.21,7.5,2.2,11
1,2.21,13,4.29,18.59
1,2.81,11,1,13.3
1,1.22,6.5,1.56,9.36
5,3.46,13,3.58,17.88
1,3.37,14.5,3.95,19.75
1,1.03,5.5,1.36,8.16
1,2.88,11,0,12.3
1,1.47,8,1.86,11.16
2,5.74,20.5,1,22.8
5,2.66,10.5,2.36,14.16
5,9.14,30.5,6.36,38.16
5,1.78,8.5,0,9.8
1,0.89,5,0,6.3
1,1.13,8,0,9.3
5,5.54,18.5,0,19.8
2,1.65,8,0,9.3
2,1.07,5.5,0,6.8
2,3.21,15,3.26,19.56
5,5.37,17,0,18.3
1,1.62,7.5,0,8.8
4,0,40,0,40
1,1.14,7,1.66,9.96
1,1.79,8.5,0,9.8
1,5.16,18.5,0,19.8
1,3.79,15,4.08,20.38
1,3.01,11.5,0,12.8
1,2.35,10,2.26,13.56
1,2.89,12,0,13.3
1,4.37,14.5,3.95,19.75
1,3.44,13,0,14.3
2,0.96,6.5,0,7.8
1,3.35,13.5,0,14.8
5,9.35,28.5,8.94,38.74
5,1.49,7,0,8.3
5,6.34,20.5,4.2,26
2,1.21,7,0,8.3
1,0.64,4.5,0,5.8
1,3.27,12.5,0,13.8
1,2.4,11.5,2.56,15.36
1,5.2,19.5,0,20.8
1,4.43,17,3.66,21.96
1,4.43,18,0,19.3
1,2.41,10.5,0,11.8
1,0.65,5.5,2.04,8.84
1,0.71,5,1.26,7.56
1,2.99,12.5,0,13.8
1,3.99,16,0,17.3
1,1.69,9.5,0,10.8
1,3.93,15.5,3.36,20.16
1,2.65,13,0,14.3
1,4.04,16,0,17.3
1,4.41,17,0,18.3
5,1.85,9,2.06,12.36
3,9.38,29,0,30.3
1,1.86,8.5,0,9.8
1,5.75,19,5.08,25.38
1,1.55,7.5,0,8.8
1,1.59,6.5,1.56,9.36
2,0.42,4,1.32,6.62
1,1.26,6.5,0,7.8
1,3.92,14,3,18.3
2,5.01,21,0,22.3
1,3.89,13.5,4.44,19.24
1,1.17,7,1.66,9.96
1,2.71,12.5,0,13.8
1,1.12,6,1.46,8.76
2,1.31,7,0,8.3
1,0.48,4,0,5.3
1,1.79,9,0,10.3
1,0.02,52,0,52.8
1,8.44,24.5,6.45,32.25
2,6.2,21.5,0,22.8
1,4.17,15.5,3.36,20.16
1,2.93,11.5,0,12.8
1,2.37,11,2.46,14.76
1,8.31,24,0,25.3
2,4.08,15,0,16.3
1,6.97,22,0,23.3
1,2.46,15.5,0,16.8
1,3.49,12,3.32,16.62
1,11.07,36.5,0,37.8
1,4.85,17.5,3,21.8
1,4.91,18,0,19.3
1,1.98,9.5,0,10.8
1,1.17,6.5,3,10.8
2,4.47,20,0,20
4,1.4,7,0,8.3
1,1.27,6.5,2.34,10.14
1,1,5,0,6.3
1,2.59,12,0,13.3
5,1.4,7,1.66,9.96
1,17.25,48.5,0,49.8
1,3.37,14,0,15.3
1,2.92,11.5,0,12.8
1,2.99,11,0,12.3
1,20.44,56,11.46,68.76
5,1.89,8.5,0,9.8
2,4.7,15.5,0,16.8
1,2.13,9,2.58,12.88
1,1.42,7,2.49,10.79
2,1.32,6.5,0,7.8
1,1.17,7,0,8.3
1,3.29,13.5,0,14.8
1,0.88,5.5,0,6.8
5,5.8,23,0,24.3
1,2.05,10,3.39,14.69
2,2.61,10.5,2.36,14.16
1,2.43,10,0,11.3
1,0.7,6.5,0,7.8
1,0.3,3.5,0,4.8
1,2.6,12.5,0,13.8
1,1.37,6.5,0,7.8
1,2.58,11,3.69,15.99
1,3.19,13,0,14.3
1,3.39,15,3.26,19.56
1,2.72,20,0,20
1,1.33,7.5,0,8.8
6,1.97,8,2.79,12.09
4,2.94,13.5,0,14.8
1,2.56,12.5,3,16.8
1,1.22,6.5,1.95,9.75
1,2.64,13,1.7,16
1,8.5,26.5,0,27.8
1,1.74,9,3.09,13.39
1,4.14,16.5,3,20.8
1,2.49,10.5,0,11.8
1,2.94,12.5,2.76,16.56
1,6.31,18.5,0,19.8
1,1.54,8,1.86,11.16
1,2.42,10,0,11.3
1,1.77,10,0,11.3
1,2.16,9,3.09,13.39
1,0.17,3,0,4.3
1,0.79,5,0,6.3
1,7.16,23,0,24.3
1,5.33,20,0,21.3
1,1.19,7.5,5,13.8
1,3.58,14.5,3.95,19.75
1,1.05,6,0,7.3
1,2.64,10,1,12.3
1,7.13,25.5,0,26.8
2,4.09,16.5,4.45,22.25
1,1.58,7.5,2.2,11
1,2.57,12,0,13.3
1,2.05,9,2.06,12.36
5,1.5,8.5,0,9.8
1,0.54,4,0,5.3
1,1.25,6.5,1.56,9.36
1,0.47,4,0,5.3
1,1.47,7.5,0,8.8
1,2.8,12.5,0,13.8
5,0.47,4,0,5.3
1,0.35,4.5,0,5.8
1,3.54,14.5,0,15.8
1,1.98,9.5,0,10.8
1,1.54,11,0,12.3
1,2.82,11,3,15.3
1,1.14,7,0,8.3
3,0.4,4,0,5.3
1,2.41,10.5,0,11.8
1,1.41,7.5,0,8.8
1,0.4,3.5,0.96,5.76
2,0,9,0,9
1,4.24,16,0,17.3
1,2.45,11.5,0,12.8
1,3.27,13,0,14.3
2,0.19,3,0,4.3
1,4.4,17,0,18.3
1,9.69,36.5,0,37.8
1,1.18,7,2.49,10.79
1,3.53,14,0,15.3
5,0.82,6,1.46,8.76
1,6.19,18.5,4.95,24.75
1,0.63,4.5,0,5.8
1,1.14,7,0,8.3
1,1.26,6,2.19,9.49
1,1.42,7,1,9.3
1,2.34,12,3.32,16.62
1,2.13,9.5,0,10.8
1,1.81,10.5,2.36,14.16
1,2,10,0,11.3
1,1.88,8,0,9.3
1,0.59,4,0,5.3
1,1.7,8.5,0,9.8
1,12.77,35,10.89,47.19
1,0.67,5.5,0,6.8
1,15.42,44,0,45.3
1,9.29,30.5,0,31.8
3,2.07,9.5,0,10.8
1,1.32,7,0,8.3
1,3.09,14.5,0,15.8
1,0.54,4.5,1,6.8
1,2.56,12,0,13.3
1,4.37,19,0,20.3
1,3.19,13,3.58,17.88
1,4.38,14.5,0,15.8
1,1.95,10.5,2.95,14.75
1,7.61,23.5,0,24.8
5,0.61,4,0,5.3
1,1.81,8,0,9.3
2,5.19,21,0,22.3
1,1.27,6,0,7.3
1,0.76,6,0,7.3
1,2.88,12.5,0,13.8
1,2.89,12,2.66,15.96
1,2.8,13.5,0,14.8
1,1.89,10,2.82,14.12
1,4.28,15,3.26,19.56
1,3.51,13.5,0,14.8
1,1.39,7,1,9.3
1,1.86,7.5,0,8.8
1,10.39,33,0,34.3
1,8.41,24.5,5.16,30.96
6,4.51,15,0,16.3
1,2.25,11,0,12.3
1,1.58,9.5,0,10.8
1,5.55,22.5,0,23.8
1,0.63,4.5,0,5.8
1,6.45,24,0,25.3
2,0.34,4,0,5.3
2,0.88,6.5,1.95,9.75
2,0.84,6,0,7.3
1,0.73,5.5,0,6.8
1,2.26,9.5,0,10.8
1,0.4,4,0,5.3
1,5.05,18,0,19.3
1,5.48,20,0,21.3
1,1.95,10.5,0,11.8
1,2.53,12,0,13.3
1,1.3,6.5,0,7.8
1,4.48,20,4.26,25.56
1,2.07,9,2.06,12.36
1,0.34,3.5,0,4.8
1,11.6,34,7.06,42.36
1,4.79,18,0,19.3
1,2.42,11,0,12.3
1,0.86,5.5,1.7,8.5
1,3.81,16,0,17.3
1,4.93,17.5,0,18.8
1,1.25,6.5,0,7.8
1,2.04,9,2.06,12.36
5,3.19,12,0,13.3
1,1.13,6.5,1.95,9.75
1,1.08,7,0,8.3
1,3.5,13.5,0,14.8
1,2.46,11.5,2,14.8
1,7.54,23,8,32.3
1,0.63,5,0,6.3
2,3.16,12,3.99,17.29
1,2.34,10.5,0,11.8
1,1.04,6,0,7.3
1,8.95,27,5.66,33.96
1,8.77,30.5,6.36,38.16
6,0.42,3.5,1.44,6.24
1,1.67,8,0,9.3
1,0.5,4,0.55,5.85
1,3.51,12,0,18.84
1,1.58,9,0,10.3
1,1.24,6.5,0,7.8
1,2.12,9,0,10.3
1,1.05,5.5,0,6.8
1,4.09,14,5.21,26.05
1,4.49,16,0,17.3
1,5.05,16.5,3.56,21.36
1,1.53,9,0,10.3
5,4.57,17.5,4.7,23.5
1,6.44,20.5,0,21.8
1,10.32,32,3,36.3
1,2.88,12,2.66,15.96
2,0.31,3.5,0.96,5.76
1,2.34,10.5,0,11.8
2,1.94,9.5,5,15.8
1,3.06,10.5,0,11.8
1,1.36,8,0,9.3
1,4.48,17,4.58,22.88
1,3.4,13,2.86,17.16
1,8.17,27,0,28.3
1,2.98,12,0,13.3
1,0,6,0,7.3
1,3.43,16.5,0,17.8
1,0.88,5,1.26,7.56
1,1.51,7.5,0,8.8
1,10.74,31.5,0,32.8
5,5.27,18,0,19.3
1,2.57,9.5,0,10.8
1,2.35,12,0,13.3
1,2.03,9.5,0,10.8
1,1.51,8,0,9.3
1,10.49,35,7.26,43.56
1,0.45,4,0,5.3
1,0.9,5.5,0,6.8
5,3.55,15,0,16.3
1,2.01,11,0,12.3
1,6.95,22,4.66,27.96
1,2.28,11,0,12.3
1,1.73,8.5,1.96,11.76
1,0.75,5,0,6.3
1,1.74,9,0,10.3
1,4.05,17.5,3.76,22.56
1,1.06,5.5,3,9.8
1,1.42,8.5,1.96,11.76
1,1.24,7,0,8.3
3,1.35,6.5,0,7.8
1,2.16,10.5,2.95,14.75
2,0.69,5,0,6.3
1,3.53,13,0,14.3
1,0.41,4.5,1.74,7.54
1,9.78,33,6,40.3
1,2.89,12,0,13.3
1,1.92,9,0,10.3
1,2.51,11,2.46,14.76
1,5.86,22,0,23.3
1,2.16,11,0,12.3
1,1.45,6.5,0,7.8
1,5.53,19,0,20.3
1,4.08,15,4.08,20.38
1,2.39,11.5,0,12.8
1,10.58,33,0,34.3
5,5,18,0,19.3
1,1.85,10,2,13.3
6,1.45,9,0,10.3
1,7.1,25.5,0,26.8
1,1.39,7.5,0,8.8
1,0.66,5,0,6.3
5,3.39,13,0,14.3
1,1.75,7.5,0,8.8
6,7.24,24,0,25.3
1,1.65,8.5,0,9.8
5,1.04,6,0,7.3
1,2.17,10.5,10,21.8
1,7.3,23,0,24.3
1,0.47,4,0,5.3
1,4.14,16,0,17.3
5,1.24,8,0,9.3
1,4.03,16,0,17.3
2,0.9,5.5,0,6.8
1,5.03,20,0,21.3
1,2.29,12.5,0,13.8
1,1.88,10,2.82,14.12
1,6.59,22,0,23.3
1,3.04,13.5,0,14.8
1,3.83,14.5,3.16,18.96
1,2.66,14,0,15.3
1,2.65,12.5,2.76,16.56
1,1.13,8,1.86,11.16
1,3.31,12,0,13.3
1,1.35,6.5,0,7.8
1,1.13,6,0,7.3
1,3.28,17,1.83,20.13
1,2.79,11.5,0,12.8
1,2.38,10.5,2.36,14.16
1,5.44,26.5,0,27.8
1,2.43,11,2,14.3
1,3.34,13.5,0,14.8
1,1.05,6,0,7.3
1,6.51,20.5,5.45,27.25
2,2.56,10,0,11.3
1,5.06,17.5,0,18.8
1,1.31,6,0,7.3
1,5.18,19.5,4.16,24.96
1,0.88,5.5,1.36,8.16
1,6.82,24,3.7,29
1,1.41,7,2.08,10.38
1,0.69,5,1,7.3
1,2.12,10,2.26,13.56
1,1.94,12,0,13.3
1,7.76,27,0,28.3
3,1.53,7.5,0,8.8
1,3.41,12.5,0,13.8
1,2.77,11,3,15.3
3,4.24,40,8,48
3,1.77,8.5,2.45,12.25
1,1.9,8.5,0,9.8
1,1.15,5.5,0,6.8
1,0.85,6,0,7.3
1,2.44,11.5,0,12.8
1,0.89,5,0,6.3
1,5.85,19,5.08,25.38
1,1.93,8.5,0,9.8
1,1.07,5,0,6.3
1,1.22,6.5,0,7.8
1,6.22,19.5,4.16,24.96
1,1.18,7.5,0,8.8
4,10.51,60,0,60
1,6.23,22.5,0,23.8
3,0.57,4.5,0,5.8
1,1.96,9.5,2.16,12.96
1,4.96,20,4.26,25.56
5,3.97,16,3.46,20.76
1,0.56,4.5,1.74,7.54
1,1.59,8,0,9.3
6,1.25,6.5,0,7.8
1,3.33,12,0,13.3
1,0.63,4,1.32,6.62
1,1.04,6,0,7.3
2,4.56,17,0,18.3
1,2.02,9,0,10.3
1,4,14,0,15.3
1,8.2,26,0,27.3
1,2.67,9.5,0,10.8
1,7.35,26,0,27.3
5,1.97,8,0,9.3
